diffusion_step: 10
dt: 0.0025
t,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z
0.02,0.0008156733220343841,-4.625910159615747e-05,0.0003118988721588397,0.00019181421127370855,-2.9542435821005366e-05,-0.00034753320654172786,-1.0865520248699249e-05,4.339104528975822e-05,-0.0006326589271462766,0.0004887028851361589,-0.00033931342586065213,0.00030422565453799784,0.0006301455905339884,-0.00020157042438485837,-0.000446778312248677,6.735362310835581e-05,0.00024056848032281075,-8.838957458659628e-05,-9.07512209861617e-05,-0.00029888478121337504,-0.00045991047267699873,0.0002988857981300506,-0.00021168008731286747,-6.149567971481115e-05,-0.00014625931031131339,0.00016639777977083464,3.276352463360999e-05,-0.0005486594175491811,0.00014345199945996786,0.00018800700559350072,0.00045110810864718275,-0.0005390202955496126,-0.0001747556270028283,-0.0005131792333810318,0.0006784127739075735,0.0006597937433093447,-0.0002985929396756247,0.000417552898508706,5.423014320540311e-05,-0.0002151077635907387,0.0002153003614900988,0.00028254645302561697,-0.00012348328667927613,0.00037544651788531036,0.00016849402124513704,-0.00026968457664158937,-6.384124734536297e-05,0.00042407696016857145,-0.000327895932532526,-0.00020682855349886883,-0.0006834329606879308,-0.000547090868471132,-0.0005161372769444199,0.0001525192467850528,-0.0003168429505343642,0.00046317070564909346,5.349955396027156e-05,0.0004647294817378117,-0.00029061493275697443,0.0002628995819825
0.0225,0.008972430936994626,-0.0005087434868771214,0.003430981868413007,0.0021099918951212955,-0.0003249584638552905,-0.0038228575359000923,-0.0001195827592300872,0.0004773354031917445,-0.006959187097157875,0.00537573996791651,-0.0037325495920207457,0.0033465814496883724,0.0069316659221700825,-0.00221729015036238,-0.004914478316601689,0.0007407990323992332,0.0026461966934982206,-0.0009721872262574574,-0.0009982466173292512,-0.003287738074826524,-0.0050589297942178575,0.003287733004549021,-0.002328462998155697,-0.0006763831828775869,-0.0016088513194638912,0.0018303878000207187,0.0003604688430735022,-0.006035287045258958,0.001578025385739721,0.0020680234553765607,0.0049621900202825924,-0.005929228130240398,-0.0019223371886233792,-0.005644943459536266,0.007462556174583864,0.007257650448864736,-0.0032845120088102826,0.004593042856297957,0.0005964135334924842,-0.0023661556232143963,0.002368318158716185,0.0031079371600544435,-0.0013583380033946938,0.004129901442207662,0.0018533442254173955,-0.002966525313412559,-0.0007022609620523425,0.004664764860135394,-0.003606869667268477,-0.0022751054711407726,-0.007517840403492439,-0.006017995554940514,-0.005677542082768695,0.0016776392733849766,-0.003485195424471637,0.005094868719756939,0.0005884618113821743,0.005111952016897683,-0.0031967532217130564,0.0028919338158453246
0.025,0.017129234418137962,-0.0009710317538749614,0.006550236270627478,0.004028234234287559,-0.0006203586525185055,-0.00729817014687256,-0.00022841545750699603,0.0009113403117308198,-0.013285605595650113,0.010262792050684094,-0.007125972678589554,0.006389117768126049,0.013233306241106833,-0.004233038183651635,-0.009382027815962656,0.0014140758975503772,0.005051722702013943,-0.0018558079165781867,-0.0019057121257458813,-0.00627660146430375,-0.009657795084106257,0.0062765626697340775,-0.004445213502083668,-0.0012911439270999756,-0.003071442679636182,0.0034943997605633914,0.0006883009195973672,-0.011521976071880026,0.0030126958388473914,0.003947942406115239,0.009473276399568043,-0.011319446782072067,-0.00366996475236467,-0.010776658082278706,0.014246730152067576,0.013855361548206479,-0.006270412684474746,0.008768463664801263,0.0011383822042680938,-0.004517149301022191,0.004521364697034256,0.0059331943874895,-0.00259323171944024,0.007884339748947436,0.003538032083518803,-0.005663356172195454,-0.0013406958492365542,0.00890530547992865,-0.006885868752025275,-0.004343367199225588,-0.014352389456448915,-0.011488894287725615,-0.010839009718682126,0.003202627584176922,-0.006653410176332857,0.009726550143021024,0.001123363005937229,0.009759045599195293,-0.006102871234788723,0.005521041037091523
0.0275,0.025286085909465423,-0.0014331206802324975,0.009669662046420419,0.005946541189052914,-0.000915742014524865,-0.010773474424171006,-0.0003373673874615095,0.0013454042052821187,-0.019611916397064603,0.015149859176391268,-0.010519585040806351,0.009431834700208086,0.019535070662526334,-0.006248814745913091,-0.01384942765929256,0.0020871793119732513,0.007457147475149797,-0.0027392536375633945,-0.002813148706613249,-0.00926547513535046,-0.014256508084780356,0.009265377713952323,-0.00656193194953262,-0.001905776784275855,-0.004534035318515565,0.005158433254194279,0.0010162588270224615,-0.017008727254202247,0.004447463352884374,0.005827763854486234,0.013984371435935334,-0.01670967898327325,-0.005417638331084567,-0.015908325272711615,0.02103093762012287,0.020452928636535913,-0.009256295507407178,0.012943817914153761,0.001680136033192169,-0.0066680887486528,0.006674444167317278,0.008758319166992245,-0.0038281634013531047,0.011638764411852857,0.005222559462429917,-0.00836017612753388,-0.0019791487835481843,0.013145700575707738,-0.010164891950263386,-0.006411614426277414,-0.02118708024831236,-0.016959788935094658,-0.016000546734351147,0.0047274841517445645,-0.00982149048731961,0.01435821476916288,0.0016582023441928618,0.014406013697832043,-0.009008968676310373,0.0081502257676121
0.03,0.03344298753519024,-0.0018950070228839456,0.012789259125044658,0.007864912704324942,-0.0012111075673962462,-0.01424877379385119,-0.00044644227672697593,0.0017795255167892777,-0.02593812140436173,0.02003694138157978,-0.013913389061147207,0.012474732325103944,0.02583696336082081,-0.008264620053134714,-0.0183166786503115,0.002760104329879515,0.009862471967279298,-0.003622526386479418,-0.003720557302512873,-0.012254359274297435,-0.018855070483304186,0.012254181047789605,-0.008678618678952064,-0.0025202805895969014,-0.0059966311810828584,0.006822487868962352,0.0013443416321735704,-0.022495541264883956,0.005882327930455982,0.007707487854358327,0.018495479255030624,-0.022099927404608966,-0.007165357921823261,-0.021039947233937418,0.02781518138121801,0.027050353210513797,-0.012242161008497185,0.017119108201687078,0.002221674921357353,-0.008818973934230846,0.008827560721244536,0.011583312489207557,-0.005063132024047847,0.015393178507977008,0.006906928232065549,-0.01105698418230996,-0.0026176226504916137,0.017385951833158466,-0.013443937994558924,-0.008479847847468563,-0.028021912907924232,-0.022430681350029465,-0.02116215968973911,0.006252208921827531,-0.012989439569791861,0.018989862402091637,0.0021929790227935265,0.01905285970799477,-0.011915045247585365,0.010779492570048154
0.0325,0.041599941401527056,-0.002356687518274857,0.015909027395932165,0.00978334870972606,-0.0015064543337182836,-0.017724071724013486,-0.000555643809781454,0.0022137026784912286,-0.032264222451513676,0.0249240386968956,-0.01730738714945336,0.015517810710441105,0.03213898856976684,-0.010280454315060781,-0.02278378154765294,0.00343284596569298,0.012267697117330886,-0.00450562816623421,-0.004627938838646354,-0.015243254067846856,-0.023453483913196543,0.015242975572192737,-0.01079527401675723,-0.00313465414129462,-0.007459232229701015,0.008486563188074727,0.001672548395964714,-0.02798241869534253,0.007317289582216687,0.009587114516852699,0.02300660391896026,-0.02749019465534938,-0.008913123505444945,-0.02617152619879902,0.03459946412906488,0.03364763667053498,-0.015228009709154982,0.02129433713248874,0.0027629987938073202,-0.010969804841660304,0.01098071847167486,0.01440817530386687,-0.006298136571207984,0.019147585220996615,0.008591140265775662,-0.013753779367772924,-0.0032561203468608195,0.021626060869386957,-0.016723005586421546,-0.010548068164583486,-0.03485688756468839,-0.027901573369681906,-0.026323855161699345,0.007776801813702304,-0.016157260569116944,0.02362149285541366,0.0027276922289254865,0.023699586952525584,-0.01482110064614795,0.01340884604884854
0.035,0.049756949598470226,-0.00281815888258334,0.01902896670729547,0.011701849119688686,-0.001801781341403675,-0.0211993717255177,-0.0006649756294980144,0.0026479341226185085,-0.03859022130591655,0.02981115114760917,-0.020701581743062056,0.018561069911956902,0.03844115058270781,-0.012296317734618433,-0.027250737065009703,0.004105399193461602,0.014672823848242856,-0.0053885609857745025,-0.005535294223240573,-0.018232159702827756,-0.028051749956204325,0.01823176417850648,-0.012911898277280185,-0.0037488962003772728,-0.008921840444203868,0.01015065878979946,0.002000878173482006,-0.03346936005860106,0.00875234832643916,0.011466644010368844,0.027517749426439538,-0.03288048328327185,-0.010660935046318576,-0.03130306442760211,0.041383788451090676,0.04024478032296003,-0.01821384212168097,0.02546950731996673,0.0033041076000477235,-0.013120581469936724,0.01313392149300209,0.01723290851990284,-0.00753317603569815,0.022901987844635405,0.010275197440754382,-0.01645056074356393,-0.003894644781170782,0.025866029234761376,-0.02000209339612236,-0.01261627608597728,-0.041692004349061215,-0.033372466814809244,-0.03148563975054393,0.009301262720522487,-0.01932495656547615,0.028253105951960858,0.0032623411407762494,0.028346198683549803,-0.017727134565016546,0.01603829085135154
0.0375,0.057914014201559394,-0.0032794178119421973,0.02214907686478658,0.01362041383355833,-0.00209708762396289,-0.024674677352712414,-0.0007744413386534857,0.0030822182820605874,-0.044916119670724404,0.03469827875414084,-0.024095975306939944,0.021604509973157,0.04474345375274423,-0.014312210507341824,-0.03171754587127132,0.004777758946269839,0.017077853066412015,-0.006271326860490279,-0.006442624347942586,-0.021221076365960753,-0.03264987014402195,0.021220549748505197,-0.015028491762720024,-0.004363005490361773,-0.010384457821984956,0.011814774247366568,0.002329330014067619,-0.03895636579209103,0.01018750418860607,0.013346076560574965,0.032028919712846084,-0.03827079577469724,-0.012408792492038169,-0.0364345642058171,0.04816815683084685,0.046841785382306066,-0.02119965874963568,0.02964462138641934,0.003845001314549434,-0.01527130383247786,0.015287173821492667,0.020057513005575255,-0.00876824941999784,0.026656389786195674,0.01195910163845738,-0.019147327397736717,-0.004533198874085259,0.030105858414702702,-0.023281200062531843,-0.014684472326528655,-0.048527263393055915,-0.03884336348918749,-0.03664752008659678,0.010825591509619793,-0.022492530575629586,0.03288470152333714,0.00379692492798863,0.032992698084062466,-0.020633146691961462,0.018667831668890845
0.04,0.06607113727363062,-0.00374046098266161,0.02526935763021389,0.015539042735704904,-0.002392372220782473,-0.028149992204179252,-0.0008840445013971748,0.0035165535910056415,-0.05124191918710767,0.039585421532591376,-0.027490570333818812,0.024648130924980766,0.05104590249293143,-0.01632813282079378,-0.03618420859065243,0.005449920115651674,0.01948278566113597,-0.007153927812626611,-0.007349930088204479,-0.02421000424363189,-0.037247845959958385,0.02420933515441906,-0.017145054763092093,-0.004976980697000635,-0.01184708637808648,0.013478909128867235,0.0026579029614048335,-0.04444343626041112,0.011622757201023654,0.015225412450361835,0.036540118650179886,-0.043661134554561436,-0.014156695773182997,-0.041566027841759834,0.05495257165036048,0.05343865297339962,-0.024185460088210074,0.03381968196361015,0.0043856799372437826,-0.017421971956472184,0.017440479455605236,0.02288198958860786,-0.010003355736657768,0.03041079457020155,0.013642854745028089,-0.021844078446773763,-0.005171785558841261,0.03434554983142604,-0.02656032419296786,-0.01675265760758721,-0.0553626648307611,-0.04431426517900187,-0.04180950283673947,0.012349788022767013,-0.02565998555463995,0.037516279409482135,0.004331442752109409,0.03763908826947385,-0.02353913670878218,0.021297473237925968
0.0425,0.0742283208665511,-0.004201285051452005,0.028389808720317475,0.017457735695642664,-0.002687634177411153,-0.03162531992349249,-0.0009937886446810317,0.003950938485554109,-0.057567621436438565,0.04447257949527722,-0.030885369344333807,0.027691932785474015,0.057348501276484415,-0.018344084853984817,-0.04065072580281198,0.0061218775510046555,0.021887622504049086,-0.008036365871702863,-0.008257212303658428,-0.02719894352167531,-0.04184567884055323,0.027198123258954727,-0.019261587556176265,-0.005590820468004064,-0.013309728145288365,0.015143062997151253,0.0029865960536041153,-0.04993057175804203,0.013058107402456106,0.017104652019759213,0.041051350046931986,-0.04905150198652322,-0.015904644803118165,-0.04669745766425,0.061737035192432906,0.06003538413349382,-0.027171246624596003,0.03799469169334805,0.0049261434940095,-0.019572585882244857,0.01959384235629224,0.025706339056335986,-0.011238494008779902,0.034165205842157965,0.01532645865173306,-0.024540813035597495,-0.00581040778167059,0.03858510484563363,-0.029839464363053764,-0.018820832656914924,-0.06219820879887348,-0.04978517365221336,-0.04697159471095817,0.013873852076404082,-0.028827324397555837,0.04214783945825162,0.004865893767032537,0.042285372289114595,-0.026445104290593272,0.023927220341197448
