time,Total,Kin,Pot
0.0,270.73205820198757,273.9367876295766,-3.204729427589051
0.0005,270.732049057268,273.9368512555337,-3.204802198265746
0.001,270.73203992257726,273.9369240253756,-3.2048841027983817
0.0015,270.7320307976891,273.9370059290921,-3.204975131402974
0.002,270.73202168237884,273.9370969568997,-3.2050752745208992
0.0025,270.73201257642063,273.9371970992389,-3.2051845228182736
0.003,270.7320034795912,273.93730634677655,-3.2053028671853654
0.0035,270.73199439166626,273.9374246904023,-3.2054302987359953
0.004,270.73198531242315,273.9375521212301,-3.2055668088069655
0.0045000000000000005,270.7319762416394,273.93768863059694,-3.2057123889575125
0.005,270.73196717909303,273.9378342100618,-3.2058670309687436
0.0055,270.73195812456254,273.93798885140563,-3.206030726843112
0.006,270.73194907782704,273.93815254663093,-3.2062034688039076
0.006500000000000001,270.7319400386665,273.9383252879612,-3.206385249294738
0.007,270.7319310068607,273.93850706783974,-3.2065760609790486
0.0075,270.73192198219033,273.93869787893,-3.206775896739632
0.008,270.7319129644364,273.93889771411455,-3.2069847496781767
0.0085,270.7319039533805,273.9391065664953,-3.2072026131148066
0.009000000000000001,270.73189494880455,273.9393244293922,-3.2074294805876353
0.0095,270.7318859504913,273.93955129634367,-3.207665345852363
0.01,270.731876958223,273.9397871611048,-3.2079102028818314
0.0105,270.73186797178346,273.9400320176491,-3.208164045865646
0.011,270.73185899095563,273.94028586016543,-3.208426869209782
0.0115,270.73185001552434,273.9405486830605,-3.2086986675361966
0.012,270.73184104527286,273.9408204809553,-3.2089794356824792
0.0125,270.7318320799865,273.94110124868797,-3.2092691687014896
0.013000000000000001,270.7318231194504,273.94139098131143,-3.209567861861027
0.0135,270.73181416344954,273.941689674093,-3.209875510643489
0.014,270.73180521176994,273.94199732251553,-3.2101921107455675
0.0145,270.7317962641973,273.9423139222753,-3.2105176580779378
