log_V_x_heights,V_x_edg_square,log_V_y_heights,V_y_edg_square,log_V_z_heights,V_z_edg_square
-8.770473837150686,7.868663311610104,-10.307703441243861,7.868663311610104,-9.175938945258851,7.868663311610104
-8.652392641141457,7.6846073808610225,-10.606685068949576,7.6846073808610225,-8.393133598325926,7.6846073808610225
-8.06108777985048,7.502729626807199,-10.316480927065085,7.502729626807199,-10.096870056689507,7.502729626807199
-8.463454971629435,7.323030049448629,-9.844432789754814,7.323030049448629,-10.037971779915923,7.323030049448629
-9.591112867493976,7.145508648785314,-10.01441911324341,7.145508648785314,-9.644976857384627,7.145508648785314
-9.158776280924025,6.970165424817254,-9.562264713156317,6.970165424817254,-9.781269919811878,6.970165424817254
-8.597635284389021,6.797000377544451,-9.28560285647673,6.797000377544451,-9.959176458396717,6.797000377544451
-8.19919410908935,6.626013506966904,-8.931131596729024,6.626013506966904,-9.641764519254444,6.626013506966904
-8.96870223802581,6.45720481308461,-8.667531702357142,6.45720481308461,-9.295535218039415,6.45720481308461
-8.897660855351118,6.290574295897572,-9.016968978995644,6.290574295897572,-8.885543166935474,6.290574295897572
-8.672872817263771,6.12612195540579,-8.886145576592245,6.12612195540579,-8.598312867701225,6.12612195540579
-8.426819418066735,5.963847791609265,-8.859976970651253,5.963847791609265,-8.53019400359349,5.963847791609265
-8.218478453254953,5.803751804507993,-8.555847398397779,5.803751804507993,-8.439460842875885,5.803751804507993
-7.607507558594218,5.6458339941019755,-8.112283793241795,5.6458339941019755,-8.522205733239781,5.6458339941019755
-7.917212656339354,5.490094360391216,-8.392397763119805,5.490094360391216,-8.385069038489195,5.490094360391216
-7.93346567966658,5.336532903375712,-8.09752388669211,5.336532903375712,-8.201926351226222,5.336532903375712
-7.853431911379533,5.1851496230554615,-7.543026710456,5.1851496230554615,-8.204666078967342,5.1851496230554615
-7.807414255137255,5.0359445194304655,-7.5291245809013825,5.0359445194304655,-8.014147754969208,5.0359445194304655
-7.52278468027813,4.888917592500728,-7.538475541269443,4.888917592500728,-7.9703973238610155,4.888917592500728
-7.405335675998107,4.744068842266246,-7.426809106203164,4.744068842266246,-7.578407381714712,4.744068842266246
-7.1537623874622245,4.601398268727016,-7.741794206572897,4.601398268727016,-7.665796599460073,4.601398268727016
-7.054613171500523,4.4609058718830426,-7.548784505279976,4.4609058718830426,-7.190173452314377,4.4609058718830426
-6.898754243451718,4.322591651734326,-7.449469755781873,4.322591651734326,-7.271958489341661,4.322591651734326
-7.116626171009628,4.186455608280864,-7.28651760113093,4.186455608280864,-7.1492961954360625,4.186455608280864
-6.988784584294219,4.052497741522657,-6.776361586277495,4.052497741522657,-7.050087187559933,4.052497741522657
-6.809570447073407,3.920718051459706,-6.732787080872359,3.920718051459706,-6.840602989215852,3.920718051459706
-7.022651859461303,3.79111653809201,-6.666444423712479,3.79111653809201,-6.650693509464467,3.79111653809201
-6.978222451001949,3.66369320141957,-6.803958485300494,3.66369320141957,-6.837957176225364,3.66369320141957
-6.804221430665718,3.538448041442385,-6.8224571743613645,3.538448041442385,-6.787235251566488,3.538448041442385
-6.686713935759798,3.415381058160455,-6.678132761570218,3.415381058160455,-6.65573276811755,3.415381058160455
-6.504431350452638,3.294492251573781,-6.486280129398211,3.294492251573781,-6.611237357867957,3.294492251573781
-6.4264872074584725,3.1757816216823618,-6.468962858115978,3.1757816216823618,-6.470280221966078,3.1757816216823618
-6.077803423004444,3.0592491684861987,-6.272259280711396,3.0592491684861987,-6.390947583538599,3.0592491684861987
-6.137299895331527,2.9448948919852906,-6.439706684572205,2.9448948919852906,-6.115026750028406,2.9448948919852906
-6.280970504048551,2.8327187921796377,-6.161225321857079,2.8327187921796377,-6.236491639318062,2.8327187921796377
-6.058708948060817,2.7227208690692404,-5.782528107228798,2.7227208690692404,-6.122864878723551,2.7227208690692404
-5.960886846643843,2.6149011226540986,-5.971874360676418,2.6149011226540986,-6.133162529065565,2.6149011226540986
-5.869394417887208,2.509259552934212,-5.763678455745777,2.509259552934212,-5.996209118138739,2.509259552934212
-5.7441097998788235,2.4057961599095807,-5.710052087669797,2.4057961599095807,-5.7173490863781735,2.4057961599095807
-5.658833009872707,2.304510943580205,-5.877644910908522,2.304510943580205,-5.853893408589148,2.304510943580205
-5.517634913028718,2.2054039039460847,-5.762736617499872,2.2054039039460847,-5.591291193445587,2.2054039039460847
-5.6193264431158845,2.1084750410072197,-5.6580923487390855,2.1084750410072197,-5.494950852149747,2.1084750410072197
-5.617845633106385,2.0137243547636103,-5.511830357602192,2.0137243547636103,-5.621718733723844,2.0137243547636103
-5.5234733581291415,1.921151845215256,-5.50310950646936,1.921151845215256,-5.672865372021479,1.921151845215256
-5.532195410256394,1.8307575123621573,-5.494180193908659,1.8307575123621573,-5.642804973932382,1.8307575123621573
-5.41165405188704,1.742541356204314,-5.371354117792011,1.742541356204314,-5.4554196202091445,1.742541356204314
-5.467781929839483,1.656503376741726,-5.241732265168422,1.656503376741726,-5.484275527779574,1.656503376741726
-5.410348227726557,1.5726435739743934,-5.21905958223087,1.5726435739743934,-5.303690107238755,1.5726435739743934
-5.152112456620832,1.4909619479023162,-5.160397699831195,1.4909619479023162,-5.308603420416537,1.4909619479023162
-5.0391826705014005,1.4114584985254943,-5.070451648898498,1.4114584985254943,-5.210497288867199,1.4114584985254943
-4.999806636213942,1.334133225843928,-5.074753903409139,1.334133225843928,-5.10605235461212,1.334133225843928
-4.92106313620659,1.258986129857617,-5.0237015368648645,1.258986129857617,-5.0660555135892995,1.258986129857617
-4.991059408190237,1.1860172105665614,-5.062560366961175,1.1860172105665614,-4.9322921067126115,1.1860172105665614
-4.918341021207039,1.115226467970761,-5.063699893160199,1.115226467970761,-4.868967560200307,1.115226467970761
-4.792685205493401,1.046613902070216,-4.962708597846069,1.046613902070216,-4.855385218825696,1.046613902070216
-4.6549733630819015,0.9801795128649268,-4.861240548674462,0.9801795128649268,-4.818414975435556,0.9801795128649268
-4.800237627557357,0.9159233003548927,-4.836839562412385,0.9159233003548927,-4.750658492736697,0.9159233003548927
-4.651336296000999,0.853845264540114,-4.784999850127068,0.853845264540114,-4.662441841533758,0.853845264540114
-4.626751394021696,0.7939454054205907,-4.799670604967579,0.7939454054205907,-4.561348694460098,0.7939454054205907
-4.7046820973829595,0.7362237229963228,-4.716944746239962,0.7362237229963228,-4.527900550496791,0.7362237229963228
-4.642798501013854,0.6806802172673103,-4.668300809789509,0.6806802172673103,-4.592147023366168,0.6806802172673103
-4.555999141981642,0.6273148882335535,-4.651331932475707,0.6273148882335535,-4.517869267586288,0.6273148882335535
-4.493874816467263,0.5761277358950515,-4.621917984030056,0.5761277358950515,-4.384576549612119,0.5761277358950515
-4.481769624881002,0.5271187602518048,-4.600381669256294,0.5271187602518048,-4.501591256412696,0.5271187602518048
-4.385830526974116,0.4802879613038142,-4.561923134297339,0.4802879613038142,-4.507121335525658,0.4802879613038142
-4.4462700882370605,0.43563533905107893,-4.528540990029941,0.43563533905107893,-4.4399135491000745,0.43563533905107893
-4.364049201443229,0.3931608934935985,-4.3989829166569825,0.3931608934935985,-4.387535111848345,0.3931608934935985
-4.277282308822007,0.35286462463137347,-4.395287505990722,0.35286462463137347,-4.314159285238195,0.35286462463137347
-4.32038605852563,0.31474653246440437,-4.333303139393437,0.31474653246440437,-4.3457332789766125,0.31474653246440437
-4.39095974973317,0.2788066169926906,-4.293704450500819,0.2788066169926906,-4.267487372886548,0.2788066169926906
-4.295928452297336,0.2450448782162318,-4.200477598419317,0.2450448782162318,-4.2646377507591655,0.2450448782162318
-4.327090317492679,0.2134613161350284,-4.136409516396755,0.2134613161350284,-4.293817364333952,0.2134613161350284
-4.351610594787547,0.1840559307490808,-4.232575552103302,0.1840559307490808,-4.244824487519897,0.1840559307490808
-4.281623385985373,0.15682872205838855,-4.246872392914971,0.15682872205838855,-4.2583233803683385,0.15682872205838855
-4.250337771798572,0.13177969006295137,-4.2168540625355515,0.13177969006295137,-4.150396529576252,0.13177969006295137
-4.258246800992306,0.1089088347627696,-4.159654047142555,0.1089088347627696,-4.195602394296328,0.1089088347627696
-4.110100538266884,0.08821615615784349,-4.050933123208911,0.08821615615784349,-4.118977989063983,0.08821615615784349
-4.163180303197555,0.06970165424817278,-4.165193619642479,0.06970165424817278,-4.120793779239044,0.06970165424817278
-4.206416437645619,0.0533653290337572,-4.087354052866725,0.0533653290337572,-4.204284994148091,0.0533653290337572
-4.2837723082770935,0.039207180514597054,-4.112050389341033,0.039207180514597054,-4.062109732088743,0.039207180514597054
-4.306804759331209,0.02722720869069247,-4.096642199770823,0.02722720869069247,-4.151600333742331,0.02722720869069247
-4.208835522709294,0.017425413562043253,-4.0442576201850375,0.017425413562043253,-4.141140091998006,0.017425413562043253
-4.202372521234693,0.009801795128649307,-4.055421970425653,0.009801795128649307,-4.119136867281601,0.009801795128649307
-4.245434929586101,0.004356353390510784,-4.063274766184528,0.004356353390510784,-4.170095036390186,0.004356353390510784
-4.223221091268031,0.0010890883476277105,-4.127379248354998,0.0010890883476277105,-4.11751084025394,0.0010890883476277105
-4.173136177837782,1.9721522630525295e-31,-4.099090807847333,1.9721522630525295e-31,-4.104791441334954,1.9721522630525295e-31
-4.211496547032959,0.0010890883476276812,-4.190269180755245,0.0010890883476276812,-4.1589577528140325,0.0010890883476276812
-4.128752276459199,0.004356353390510784,-4.25426393232767,0.004356353390510784,-4.200438680233678,0.004356353390510784
-4.159227142541244,0.009801795128649218,-4.237196398406166,0.009801795128649218,-4.178269797159862,0.009801795128649218
-4.2406196692797336,0.017425413562043017,-4.257563736834269,0.017425413562043017,-4.237378100435527,0.017425413562043017
-4.276364164608876,0.027227208690692326,-4.2013063592469,0.027227208690692326,-4.205966305184448,0.027227208690692326
-4.250179993780229,0.039207180514597054,-4.209300971553374,0.039207180514597054,-4.1912189647852065,0.039207180514597054
-4.2154477911250146,0.05336532903375699,-4.239263403573465,0.05336532903375699,-4.249236766910976,0.05336532903375699
-4.244775087081385,0.0697016542481723,-4.273504123397422,0.0697016542481723,-4.211499357762638,0.0697016542481723
-4.295824473900284,0.08821615615784323,-4.253947160116502,0.08821615615784323,-4.1777071496029325,0.08821615615784323
-4.272971950865294,0.1089088347627696,-4.214387336666069,0.1089088347627696,-4.174229573996955,0.1089088347627696
-4.2947455718305285,0.13177969006295104,-4.282232583070416,0.13177969006295104,-4.273791255399359,0.13177969006295104
-4.2662218507641105,0.15682872205838785,-4.334758262763774,0.15682872205838785,-4.370984490824575,0.15682872205838785
-4.337167998365655,0.18405593074908042,-4.257593169634773,0.18405593074908042,-4.415621336880953,0.18405593074908042
-4.40335582657712,0.2134613161350284,-4.384539790004908,0.2134613161350284,-4.423560688203547,0.2134613161350284
-4.338625568819108,0.24504487821623136,-4.374332973598206,0.24504487821623136,-4.3312828245584996,0.24504487821623136
-4.296219037492078,0.27880661699268966,-4.381210301297991,0.27880661699268966,-4.422331401868144,0.27880661699268966
-4.4314970301481775,0.31474653246440387,-4.434773616732497,0.31474653246440387,-4.476762312869196,0.31474653246440387
-4.388131900606196,0.35286462463137347,-4.397380572081146,0.35286462463137347,-4.493554276167757,0.35286462463137347
