log_V_x_heights,V_x_edg_square,log_V_y_heights,V_y_edg_square,log_V_z_heights,V_z_edg_square
-10.979849232269418,48.776295055975325,-10.502840853809712,48.776295055975325,-12.539217092058712,48.776295055975325
-9.92114248777485,47.635368569544895,-8.935237081731263,47.635368569544895,-11.253771476132986,47.635368569544895
-9.625224702000839,46.50794417171128,-9.289654178695908,46.50794417171128,-10.287925293452217,46.50794417171128
-9.0084204571136,45.394021862474474,-9.257694068359653,45.394021862474474,-9.501361345693478,45.394021862474474
-10.433949150818977,44.293601641834485,-10.209107325674577,44.293601641834485,-10.139209886057198,44.293601641834485
-10.763082940733739,43.2066835097913,-9.527909078178164,43.2066835097913,-10.380180169932661,43.2066835097913
-10.633990519639843,42.13326746634492,-8.813523664822059,42.13326746634492,-9.438705867271544,42.13326746634492
-8.894313826515258,41.07335351149535,-10.713168549352025,41.07335351149535,-8.994893027296444,41.07335351149535
-8.527033111698211,40.02694164524259,-9.99963141308903,40.02694164524259,-7.628616298109598,40.02694164524259
-7.822380731537231,38.994031867586635,-8.840214630313326,38.994031867586635,-7.698147843980918,38.994031867586635
-7.92064869224771,37.9746241785275,-8.407591681501156,37.9746241785275,-8.306122221336297,37.9746241785275
-8.01238563997581,36.96871857806518,-8.001504411984259,36.96871857806518,-9.30602562211059,36.96871857806518
-8.485815655723982,35.97631506619966,-8.190440657483007,35.97631506619966,-9.637284511761472,35.97631506619966
-8.220644295685753,34.99741364293095,-8.49148483470603,34.99741364293095,-9.12876038498376,34.99741364293095
-7.9245571924526805,34.03201430825905,-9.007739721893302,34.03201430825905,-8.897660855351118,34.03201430825905
-7.67553621091912,33.08011706218396,-8.956344357179209,33.08011706218396,-8.906231461838868,33.08011706218396
-7.984728392546765,32.141721904705676,-8.603977321501128,32.141721904705676,-8.196015899830662,32.141721904705676
-8.051234188990353,31.216828835824206,-7.883044351618248,31.216828835824206,-7.961035757652163,31.216828835824206
-7.515183584139545,30.305437855539545,-7.550288562559358,30.305437855539545,-8.442743015915998,30.305437855539545
-7.515489581693952,29.407548963851703,-8.4751719163205,29.407548963851703,-7.709137472983339,29.407548963851703
-7.738920090779513,28.52316216076066,-7.7822245160029535,28.52316216076066,-7.369856878332019,28.52316216076066
-7.607339801506088,27.652277446266428,-7.829477400853499,27.652277446266428,-7.456152975655884,27.652277446266428
-6.803095008438704,26.794894820369006,-6.972027169002278,26.794894820369006,-7.6533367555016145,26.794894820369006
-6.738117995191068,25.951014283068393,-7.024242279854545,25.951014283068393,-7.528039309477032,25.951014283068393
-6.995585172683374,25.1206358343646,-7.162163774670993,25.1206358343646,-7.2166042422478505,25.1206358343646
-7.15360253665597,24.303759474257607,-7.085935423275542,24.303759474257607,-7.396262379792432,24.303759474257607
-6.6325570565345595,23.500385202747424,-7.146171110131,23.500385202747424,-7.014552010689846,23.500385202747424
-6.668738378511637,22.71051301983405,-6.760809060503493,22.71051301983405,-7.357694877192131,22.71051301983405
-6.667295849902696,21.934142925517484,-6.985897016866428,21.934142925517484,-7.004174406775388,21.934142925517484
-6.778959037846695,21.17127491979773,-6.848464880178839,21.17127491979773,-6.970783829588108,21.17127491979773
-6.5736668337162,20.421909002674788,-6.66837755122918,20.421909002674788,-6.732192623297374,20.421909002674788
-6.492724952671013,19.686045174148653,-6.637600923398573,19.686045174148653,-6.546997016480769,19.686045174148653
-6.414533701164507,18.96368343421933,-6.763330312379333,18.96368343421933,-6.662295921184512,18.96368343421933
-6.2457978132122305,18.254823782886817,-6.381474700661286,18.254823782886817,-6.497883229055766,18.254823782886817
-6.177774045179797,17.55946622015112,-6.147826002232405,17.55946622015112,-6.439811060534516,17.55946622015112
-6.120112644356161,16.877610746012223,-6.039167802177175,16.877610746012223,-6.189244978964482,16.877610746012223
-6.051214551513756,16.20925736047014,-5.809823777552636,16.20925736047014,-6.040514745083274,16.20925736047014
-6.153826626162333,15.554406063524864,-5.7025956791766355,15.554406063524864,-5.9338719682720376,15.554406063524864
-6.101670114429008,14.913056855176402,-5.8278870114647985,14.913056855176402,-6.047171074269199,14.913056855176402
-6.090143728965294,14.285209735424745,-5.719061100695348,14.285209735424745,-6.0430912303967705,14.285209735424745
-5.668729086598813,13.6708647042699,-5.629104129481815,13.6708647042699,-5.9102686584494535,13.6708647042699
-5.571877403776263,13.070021761711867,-5.554231643645364,13.070021761711867,-5.878418639874168,13.070021761711867
-5.597554835059027,12.482680907750641,-5.528863247629008,12.482680907750641,-5.522242473197067,12.482680907750641
-5.661681298637566,11.908842142386224,-5.5306383183364085,11.908842142386224,-5.550610845371125,11.908842142386224
-5.638861214272641,11.348505465618619,-5.333064102877872,11.348505465618619,-5.3210317288331535,11.348505465618619
-5.803395649077263,10.801670877447824,-5.580846073759023,10.801670877447824,-5.339451909906591,10.801670877447824
-5.549003420868647,10.268338377873837,-5.504419452007395,10.268338377873837,-5.280174612812109,10.268338377873837
-5.259529439340776,9.748507966896659,-5.333935908649891,9.748507966896659,-5.1069259544145424,9.748507966896659
-5.156391101343502,9.242179644516295,-5.248392925279246,9.242179644516295,-5.16290545154794,9.242179644516295
-5.157584880809739,8.749353410732738,-5.16030332767817,8.749353410732738,-5.031801475610093,8.749353410732738
-5.041300708407141,8.27002926554599,-5.164755766046444,8.27002926554599,-5.094614907891531,8.27002926554599
-5.009823123995697,7.8042072089560515,-5.212430232393735,7.8042072089560515,-4.975618114964372,7.8042072089560515
-5.061507624470012,7.351887240962923,-5.1631529330608785,7.351887240962923,-5.013075769635615,7.351887240962923
-5.034179035641772,6.913069361566604,-5.039922508221192,6.913069361566604,-4.9814284955483155,6.913069361566604
-5.006842495857559,6.487753570767101,-4.912981272327695,6.487753570767101,-4.888710845939323,6.487753570767101
-4.890510557917493,6.075939868564402,-4.9209145698714485,6.075939868564402,-4.828501254882624,6.075939868564402
-4.7945113224849605,5.677628254958512,-4.895918064334886,5.677628254958512,-4.86781824072023,5.677628254958512
-4.827590040900391,5.292818729949433,-4.891009512894386,5.292818729949433,-4.845253279640594,5.292818729949433
-4.7015893137813425,4.921511293537163,-4.810693841739963,4.921511293537163,-4.6478471986021335,4.921511293537163
-4.583094816530691,4.563705945721704,-4.706022360984493,4.563705945721704,-4.593484562945821,4.563705945721704
-4.673922015099519,4.219402686503054,-4.761653445275932,4.219402686503054,-4.6806303539979845,4.219402686503054
-4.532725501091923,3.8886015158812177,-4.704102333873415,3.8886015158812177,-4.677852892264657,3.8886015158812177
-4.533163527190552,3.571302433856187,-4.682046730694144,3.571302433856187,-4.510136559572645,3.571302433856187
-4.429390816040235,3.267505440427967,-4.511584977940951,3.267505440427967,-4.4945758904816575,3.267505440427967
-4.410199797357476,2.977210535596556,-4.5471922006812,2.977210535596556,-4.4045994955262735,2.977210535596556
-4.3734534893292505,2.700417719361955,-4.479455724449874,2.700417719361955,-4.449763152846129,2.700417719361955
-4.459249710138006,2.4371269917241642,-4.405418094131252,2.4371269917241642,-4.319095654938904,2.4371269917241642
-4.3264910183393095,2.187338352683183,-4.239092916108937,2.187338352683183,-4.3282836764975166,2.187338352683183
-4.243433491019941,1.951051802239014,-4.241786545759435,1.951051802239014,-4.340727953786628,1.951051802239014
