V_heights,V_edg,V_x_heights,V_x_edg,V_y_heights,V_y_edg,V_z_heights,V_z_edg,kT_average
1.1375e-05,0.0,9.5625e-05,-5.416971598698791,5.1e-05,-5.416971598698791,2.5e-05,-5.416971598698791,2.4533548346219662
0.000389375,0.08125457398048187,4.25e-06,-5.3086321667248155,3e-06,-5.3086321667248155,4.4125e-05,-5.3086321667248155,2.4533548346219662
0.000521375,0.16250914796096375,4.3375e-05,-5.20029273475084,2.375e-06,-5.20029273475084,0.000272625,-5.20029273475084,2.4533548346219662
0.00085925,0.24376372194144563,0.000385125,-5.091953302776863,1.75e-06,-5.091953302776863,0.000216125,-5.091953302776863,2.4533548346219662
0.001211375,0.3250182959219275,0.000712,-4.983613870802888,1.375e-06,-4.983613870802888,0.000774625,-4.983613870802888,2.4533548346219662
0.002577375,0.40627286990240935,0.001080875,-4.875274438828912,1.375e-06,-4.875274438828912,0.0001485,-4.875274438828912,2.4533548346219662
0.00303925,0.48752744388289126,0.00041625,-4.766935006854936,1.4375e-05,-4.766935006854936,0.000116125,-4.766935006854936,2.4533548346219662
0.005004625,0.5687820178633731,0.000396125,-4.658595574880961,4.275e-05,-4.658595574880961,0.000277,-4.658595574880961,2.4533548346219662
0.00825525,0.650036591843855,0.001070875,-4.550256142906985,0.0001325,-4.550256142906985,0.000214625,-4.550256142906985,2.4533548346219662
0.01081475,0.7312911658243368,0.00133,-4.441916710933008,0.00042825,-4.441916710933008,0.000299625,-4.441916710933008,2.4533548346219662
0.0116485,0.8125457398048187,0.00080125,-4.333577278959033,0.00055375,-4.333577278959033,0.001209875,-4.333577278959033,2.4533548346219662
0.0127745,0.8938003137853006,0.000839625,-4.225237846985057,0.000579125,-4.225237846985057,0.000769125,-4.225237846985057,2.4533548346219662
0.01166075,0.9750548877657825,0.000685625,-4.1168984150110814,0.00083325,-4.1168984150110814,0.00039625,-4.1168984150110814,2.4533548346219662
0.013885,1.0563094617462643,0.000713875,-4.008558983037105,0.000800375,-4.008558983037105,0.000413875,-4.008558983037105,2.4533548346219662
0.017059375,1.1375640357267462,0.001978,-3.9002195510631297,0.00109725,-3.9002195510631297,0.00054525,-3.9002195510631297,2.4533548346219662
0.017333875,1.218818609707228,0.001809,-3.7918801190891536,0.000707,-3.7918801190891536,0.000769,-3.7918801190891536,2.4533548346219662
0.0199245,1.30007318368771,0.00187975,-3.683540687115178,0.002443125,-3.683540687115178,0.002127,-3.683540687115178,2.4533548346219662
0.021971125,1.381327757668192,0.0018625,-3.5752012551412022,0.001742875,-3.5752012551412022,0.00200975,-3.5752012551412022,2.4533548346219662
0.02205375,1.4625823316486737,0.002813125,-3.466861823167226,0.0020805,-3.466861823167226,0.003572125,-3.466861823167226,2.4533548346219662
0.02707925,1.5438369056291557,0.002795875,-3.3585223911932505,0.002310875,-3.3585223911932505,0.003466875,-3.3585223911932505,2.4533548346219662
0.029076625,1.6250914796096374,0.00488175,-3.2501829592192744,0.00317025,-3.2501829592192744,0.00388225,-3.2501829592192744,2.4533548346219662
0.023530125,1.7063460535901194,0.005391625,-3.1418435272452987,0.003231625,-3.1418435272452987,0.002821,-3.1418435272452987,2.4533548346219662
0.026465875,1.7876006275706011,0.004288125,-3.033504095271323,0.00394125,-3.033504095271323,0.003599875,-3.033504095271323,2.4533548346219662
0.028462625,1.868855201551083,0.00553725,-2.925164663297347,0.00586775,-2.925164663297347,0.0047295,-2.925164663297347,2.4533548346219662
0.0277285,1.950109775531565,0.004801125,-2.8168252313233713,0.007419875,-2.8168252313233713,0.005017125,-2.8168252313233713,2.4533548346219662
0.02886875,2.031364349512047,0.00746675,-2.7084857993493956,0.006680375,-2.7084857993493956,0.00636625,-2.7084857993493956,2.4533548346219662
0.033179875,2.1126189234925286,0.007487375,-2.6001463673754195,0.0074695,-2.6001463673754195,0.007905875,-2.6001463673754195,2.4533548346219662
0.03181425,2.1938734974730107,0.007055,-2.491806935401444,0.010046875,-2.491806935401444,0.00910625,-2.491806935401444,2.4533548346219662
0.034737125,2.2751280714534925,0.008321,-2.383467503427468,0.011606375,-2.383467503427468,0.009238875,-2.383467503427468,2.4533548346219662
0.0330295,2.3563826454339742,0.008806,-2.275128071453492,0.0107605,-2.275128071453492,0.008695125,-2.275128071453492,2.4533548346219662
0.031395125,2.437637219414456,0.01141375,-2.1667886394795164,0.013178,-2.1667886394795164,0.012394375,-2.1667886394795164,2.4533548346219662
0.027286375,2.518891793394938,0.013200375,-2.0584492075055403,0.01279075,-2.0584492075055403,0.0109215,-2.0584492075055403,2.4533548346219662
0.02900275,2.60014636737542,0.014241125,-1.9501097755315646,0.01530025,-1.9501097755315646,0.015907875,-1.9501097755315646,2.4533548346219662
0.027381375,2.6814009413559017,0.014847375,-1.841770343557589,0.0123645,-1.841770343557589,0.016426875,-1.841770343557589,2.4533548346219662
0.02563075,2.762655515336384,0.017115125,-1.7334309115836128,0.016099125,-1.7334309115836128,0.01352575,-1.7334309115836128,2.4533548346219662
0.027740875,2.8439100893168656,0.0196295,-1.6250914796096372,0.019143625,-1.6250914796096372,0.013316375,-1.6250914796096372,2.4533548346219662
0.026767375,2.9251646632973474,0.018373625,-1.516752047635661,0.01749775,-1.516752047635661,0.017356375,-1.516752047635661,2.4533548346219662
0.02349675,3.006419237277829,0.017646,-1.4084126156616854,0.0174145,-1.4084126156616854,0.01832825,-1.4084126156616854,2.4533548346219662
0.024996125,3.0876738112583113,0.01882575,-1.3000731836877097,0.019418625,-1.3000731836877097,0.017861,-1.3000731836877097,2.4533548346219662
