time,Total,Kin,Pot
0.0,235.03175381055345,241.38920657828677,-6.357452767733329
0.0002,235.03175174908324,241.38920634805584,-6.357454598972602
0.0004,235.03174968082988,241.38920818186494,-6.3574585010350555
0.0006000000000000001,235.03174361394062,241.38921208449486,-6.357468470554245
0.0008,235.0317415479602,241.38921805420983,-6.357476506249642
0.001,235.03173948349888,241.3892260901596,-6.357486606660714
0.0012000000000000001,235.03173741323548,241.3892361902875,-6.357498777052018
0.0014,235.03173534342727,241.3892483587833,-6.357513015356023
0.0016,235.03173328084196,241.3892625971314,-6.357529316289441
0.0018000000000000002,235.03173521334838,241.38927889717453,-6.357543683826138
0.002,235.0317331420724,241.3892972663545,-6.357564124282097
0.0022,235.03173107695093,241.38931770707353,-6.357586630122592
0.0024000000000000002,235.0317250117079,241.38934021423108,-6.357615202523181
0.0026000000000000003,235.03172293514177,241.38936478957777,-6.357641854435994
0.0028,235.03172886602093,241.3893914373518,-6.357662571330878
0.003,235.03173079234168,241.38942015453517,-6.357689362193499
0.0032,235.03173671834492,241.3894509457153,-6.357714227370393
0.0034000000000000002,235.0317306480403,241.3894838107824,-6.357753162742073
0.0036000000000000003,235.0317285761982,241.38951874399655,-6.3577901677983455
0.0038,235.0317265071152,241.38955574716044,-6.357829240045247
0.004,235.0317244349077,241.3895948218989,-6.357870386991207
0.004200000000000001,235.03172236054513,241.38963596865452,-6.357913608109384
0.0044,235.03171628390805,241.3896791922793,-6.357962908371248
0.0046,235.03171421649236,241.38972449332698,-6.358010276834607
0.0048000000000000004,235.03171214705827,241.38977186169984,-6.358059714641566
0.005,235.03171007608236,241.38982129926532,-6.358111223182971
0.005200000000000001,235.03171200157269,241.38987280747878,-6.3581608059060875
0.0054,235.03170992806164,241.38992638848643,-6.358216460424797
0.0056,235.0317078579934,241.38998204336175,-6.35827418536834
0.0058000000000000005,235.03170578736032,241.39003976854988,-6.358333981189564
0.006,235.03169971136225,241.39009956475832,-6.358399853396056
0.006200000000000001,235.0316976375634,241.39016143543918,-6.3584637978757765
0.0064,235.03169156524262,241.39022537969308,-6.358533814450466
0.0066,235.0316974858296,241.39029139563686,-6.358593909807274
0.0068000000000000005,235.03169540452757,241.39035949178424,-6.358664087256659
0.007,235.03168932403455,241.39042967029573,-6.3587403462611976
0.007200000000000001,235.0316912436815,241.39050192748175,-6.358810683800256
0.0074,235.03168916797554,241.39057626450295,-6.358887096527405
0.0076,235.03168709247424,241.39065267727045,-6.358965584796213
0.0078000000000000005,235.03168501632092,241.39073116399226,-6.3590461476713465
0.008,235.031682939815,241.3908117288897,-6.359128789074691
0.0082,235.03168486483688,241.39089437033175,-6.359209505494866
0.008400000000000001,235.03168278391536,241.39097908725282,-6.3592963033374605
0.0086,235.03168468047974,241.39106589305098,-6.359381212571242
0.0088,235.03168659461653,241.39115479621458,-6.359468201598056
0.009000000000000001,235.03168051411458,241.39124578517857,-6.359565271063978
0.0092,235.03167443095862,241.39133885557612,-6.359664424617518
0.0094,235.0316723480188,241.39143400946605,-6.359761661447258
0.009600000000000001,235.03166626587554,241.3915312455784,-6.3598649797028495
0.0098,235.0316681857494,241.39163056444315,-6.3599623786937505
0.01,235.0316661026105,241.39173196338862,-6.360065860778115
0.0102,235.03166002065237,241.39183544332244,-6.360175422670063
0.010400000000000001,235.0316539366817,241.39194100567641,-6.36028706899471
0.0106,235.03165185058984,241.39204865129784,-6.360396800708012
0.0108,235.03164975670285,241.39215838274734,-6.360508626044495
0.011000000000000001,235.03164766395335,241.39227020539556,-6.3606225414422015
0.0112,235.0316415789727,241.39238411970106,-6.360742540728343
0.0114,235.03164349380555,241.392500119004,-6.36085662519847
0.011600000000000001,235.03164140723263,241.39261820464324,-6.360976797410628
0.0118,235.03164332353373,241.39273837731028,-6.361095053776559
0.012,235.0316412391281,241.39286063373922,-6.361219394611114
0.0122,235.03163915380304,241.3929849746513,-6.361345820848271
0.012400000000000001,235.03163306533742,241.3931114007981,-6.361478335460677
0.0126,235.0316309740781,241.39323991788964,-6.3616089438115475
0.0128,235.03162488672928,241.39337052628926,-6.36174563955998
0.013000000000000001,235.0316187949191,241.39350322213375,-6.361884427214647
0.0132,235.03161670001438,241.39363801397533,-6.36202131396094
0.0134,235.03161460930602,241.39377490108274,-6.362160291776721
0.013600000000000001,235.03161251130373,241.39391387853937,-6.36230136723562
0.013800000000000002,235.0316024109977,241.39405495461426,-6.362452543616557
0.014,235.03160031553963,241.39419813370628,-6.362597818166638
0.0142,235.03159822564658,241.3943434083657,-6.362745182719112
0.014400000000000001,235.0315921330751,241.39449077296976,-6.362898639894676
0.0146,235.03159003917327,241.39464022980877,-6.363050190635508
0.0148,235.03158794013933,241.3947917813371,-6.363203841197753
0.015000000000000001,235.03158584140897,241.39494543117226,-6.36335958976329
0.0152,235.03158374304246,241.39510117948114,-6.363517436438685
0.0154,235.0315816423117,241.39525902495774,-6.363677382646059
0.015600000000000001,235.03157953869444,241.39541897009187,-6.363839431397418
0.0158,235.0315774300407,241.39558101763413,-6.364003587593419
0.016,235.03157530672925,241.39574517055445,-6.364169863825191
0.0162,235.0315691822518,241.39591143834974,-6.364342256097955
0.0164,235.03157107335795,241.39607982741583,-6.364508754057887
0.0166,235.0315689707402,241.39625032678478,-6.364681356044575
0.016800000000000002,235.0315668691703,241.3964229290037,-6.36485605983341
0.017,235.03156476918613,241.3965976337562,-6.365032864570048
0.0172,235.0315626662716,241.39677443854907,-6.365211772277466
0.017400000000000002,235.03156455940086,241.39695334732457,-6.36538878792371
