time,Total,Kin,Pot
0.0,5944.687398660058,5950.9663183554085,-6.27891969535066
0.0005,5944.6306566958,5950.967178684103,-6.336521988302411
0.001,5944.607453236947,5950.968308053089,-6.360854816141783
0.0015,5944.607168384331,5950.96973292347,-6.362564539138504
0.002,5944.606880491222,5950.971450724418,-6.364570233196421
0.0025,5944.606600697307,5950.973456445301,-6.366855747993843
0.003,5944.606312799622,5950.9757499376,-6.369437137977917
0.0035,5944.606040876169,5950.978331309171,-6.372290433002101
0.004,5944.605760849185,5950.981200496155,-6.375439646970595
0.0045000000000000005,5944.60548066627,5950.9843575832365,-6.378876916967316
0.005,5944.60521237072,5950.987802906014,-6.382590535293719
0.0055,5944.604924008873,5950.991536519416,-6.386612510542651
0.006,5944.604639096723,5950.99555866336,-6.390919566636281
0.006500000000000001,5944.604349826766,5950.999869845899,-6.39552001913291
0.007,5944.604068186963,5951.004470429633,-6.400402242670327
0.0075,5944.6037777702595,5951.009360710176,-6.405582939916991
0.008,5944.6034948809875,5951.014541407752,-6.41104652676536
0.0085,5944.603207230974,5951.020013119554,-6.416805888580548
0.009000000000000001,5944.602906978211,5951.0257764527805,-6.422869474569774
0.0095,5944.602618080962,5951.031832187338,-6.429214106375825
0.01,5944.602332543181,5951.03818090798,-6.435848364799439
0.0105,5944.602050157947,5951.044823250586,-6.442773092638929
0.011,5944.601758768382,5951.051760113442,-6.450001345059904
0.0115,5944.601478637434,5951.058992408615,-6.457513771180434
0.012,5944.601197410506,5951.066520944673,-6.465323534167668
0.0125,5944.600907016235,5951.0743468019045,-6.473439785669523
0.013000000000000001,5944.6006153476155,5951.082471129976,-6.481855782359961
0.0135,5944.600326748995,5951.0908951155825,-6.490568366587419
0.014,5944.600041091989,5951.099619843816,-6.499578751827388
0.0145,5944.5997540149765,5951.108646386776,-6.508892371799652
0.015,5944.599457672266,5951.1179760168625,-6.518518344596153
0.0155,5944.599163910115,5951.127610154118,-6.528446244002768
0.016,5944.598880661312,5951.137550194708,-6.538669533395047
0.0165,5944.598583974242,5951.147797604436,-6.54921363019433
0.017,5944.598285902902,5951.158353820068,-6.560067917166829
0.0175,5944.5979701859205,5951.169220243479,-6.571250057557805
0.018000000000000002,5944.597660817811,5951.180398540078,-6.5827377222678365
0.0185,5944.597357751412,5951.191890357064,-6.594532605651635
0.019,5944.597048837206,5951.203697356,-6.606648518793569
0.0195,5944.596721932976,5951.215821430412,-6.619099497436279
0.02,5944.5964131156825,5951.2282645799405,-6.63185146425839
0.0205,5944.596090482075,5951.241028698249,-6.644938216173615
0.021,5944.595789688427,5951.254115615714,-6.658325927286613
0.021500000000000002,5944.595462804534,5951.267527463017,-6.672064658483188
0.022,5944.595129872781,5951.28126638334,-6.686136510559003
0.0225,5944.594790482288,5951.295334470208,-6.700543987920084
0.023,5944.5944647108345,5951.309734139431,-6.715269428597103
0.0235,5944.594128631866,5951.324467794005,-6.730339162139262
0.024,5944.593801972605,5951.339537734523,-6.745735761917959
0.0245,5944.593468713678,5951.354946576172,-6.761477862494071
0.025,5944.593133017885,5951.370696916355,-6.777563898470364
0.025500000000000002,5944.592786786499,5951.386791154449,-6.79400436794997
0.026000000000000002,5944.59243787896,5951.40323188955,-6.810794010589917
0.0265,5944.592090110899,5951.4200217874895,-6.827931676590383
0.027,5944.591743426652,5951.437163671446,-6.845420244794081
0.0275,5944.591389810132,5951.454660501008,-6.863270690876681
0.028,5944.591033134393,5951.472515243673,-6.881482109280042
0.0285,5944.590677354049,5951.490730956722,-6.900053602672147
0.029,5944.590322417072,5951.50931072282,-6.918988305748702
0.029500000000000002,5944.589960185637,5951.528257717688,-6.938297532050431
0.03,5944.5895945220345,5951.547575228168,-6.957980706134087
0.0305,5944.589209376928,5951.567266666456,-6.9780572895274995
0.031,5944.588832637049,5951.587335543967,-6.998502906918486
0.0315,5944.58844419886,5951.607785453533,-7.019341254673137
0.032,5944.588068072817,5951.628620094431,-7.040552021614175
0.0325,5944.587684155357,5951.649843192738,-7.062159037381047
0.033,5944.5872923468205,5951.671458524076,-7.084166177256063
0.0335,5944.586904499033,5951.693470000594,-7.106565501560874
0.034,5944.586512562982,5951.7158816650035,-7.129369102021969
0.0345,5944.586108396204,5951.738697613652,-7.152589217448271
0.035,5944.585703875918,5951.761922083743,-7.176218207825458
0.035500000000000004,5944.585298908629,5951.785559445434,-7.2002605368049695
0.036000000000000004,5944.584889394992,5951.809614146358,-7.224724751366311
0.0365,5944.584463173216,5951.834090755061,-7.249627581844874
0.037,5944.5840322267395,5951.858993967257,-7.27496174051756
0.0375,5944.583600349286,5951.884328571254,-7.300728221968042
0.038,5944.583159499743,5951.910099457244,-7.326939957501064
0.0385,5944.582717560254,5951.936311635268,-7.35359407501388
0.039,5944.582270386791,5951.9629701888,-7.3806998020091585
0.0395,5944.581817830409,5951.990080367084,-7.408262536675307
0.04,5944.581355717528,5952.0176475870885,-7.436291869560184
0.0405,5944.580883928312,5952.0456773843625,-7.464793456050747
0.041,5944.580410395812,5952.074175437547,-7.493765041735497
0.0415,5944.579931015193,5952.103147511994,-7.523216496800848
0.042,5944.579449548119,5952.132599479635,-7.553149931516199
0.0425,5944.578953847137,5952.162537431623,-7.583583584485601
0.043000000000000003,5944.578455802459,5952.192967616291,-7.614511813831755
0.043500000000000004,5944.577951294819,5952.2238963833925,-7.645945088572769
0.044,5944.577448142223,5952.255330214761,-7.677882072537425
0.0445,5944.576930147501,5952.2872757675095,-7.710345620008502
0.045,5944.57640517515,5952.31973988783,-7.7433347126800856
