all_means,dt_of_steps
0.003086080675468428,0.025
0.8575251197996505,0.42500000000000004
3.115564312715187,0.8250000000000001
6.637722087584484,1.225
11.29564736125591,1.625
16.974304905475684,2.025
23.57241763886295,2.4250000000000003
31.0003020476442,2.825
39.17652755789147,3.225
48.02881540852009,3.625
57.493476315731385,4.025
67.51449193021074,4.425
78.03131874887609,4.825
88.98862090589327,5.2250000000000005
100.34115762680091,5.625
112.05379936728119,6.025
124.09667866117996,6.425000000000001
136.446351911261,6.825
149.07133978173508,7.2250000000000005
161.94564443999712,7.625
175.0506993612306,8.025
188.35721360650135,8.425
201.84373974945268,8.825000000000001
215.50537565046122,9.225
229.32777893926124,9.625
243.29500286305122,10.025
257.37965172576287,10.425
271.5733101331518,10.825000000000001
285.86234186726364,11.225000000000001
300.23232028340396,11.625
314.6639229197653,12.025
329.1564652240291,12.425
343.7048433293995,12.825000000000001
358.30769279270606,13.225000000000001
372.9571334278791,13.625
387.63610485658495,14.025
402.34116470022957,14.425
417.0660260252078,14.825000000000001
431.79254746273733,15.225000000000001
446.52995629975123,15.625
461.2820328427456,16.025000000000002
476.0366984162227,16.425
490.785840452654,16.825
505.5358492301902,17.225
520.2731575699768,17.625
534.9978655937583,18.025000000000002
549.7167732052471,18.425
564.4369815652856,18.825
579.1414268641106,19.225
593.8253123146976,19.625
608.4728888597745,20.025000000000002
623.0647473860605,20.425
637.602871497854,20.825000000000003
652.0883788624355,21.225
666.5028656794477,21.625
680.8823974924321,22.025000000000002
695.2318018171853,22.425
709.570151981287,22.825000000000003
723.9149573671157,23.225
738.2636919814192,23.625
752.6109622590893,24.025000000000002
766.9566086106067,24.425
781.2816529532066,24.825000000000003
795.5713072930146,25.225
809.8080617953896,25.625
823.9849725003837,26.025000000000002
838.1075940809594,26.425
852.1876413737523,26.825000000000003
866.2407525783506,27.225
880.3073004498215,27.625
894.3924094079686,28.025000000000002
908.4943382838795,28.425
922.6243953633046,28.825000000000003
936.7805519707451,29.225
950.971813459338,29.625
965.2048427653767,30.025000000000002
979.4708492756748,30.425
993.7600945170661,30.825000000000003
1008.0555522922086,31.225
1022.3560062350375,31.625
1036.654337665473,32.025
1050.9391079144327,32.425000000000004
1065.2014517061173,32.825
1079.4532886450595,33.225
1093.7156078207659,33.625
1108.014937988875,34.025
1122.3493139758843,34.425000000000004
1136.717556823042,34.825
1151.102992603206,35.225
1165.5152810047,35.625
1179.9732156723428,36.025
1194.479114934872,36.425000000000004
1209.0405349277394,36.825
1223.649736405335,37.225
1238.3096543045358,37.625
1253.0241515036375,38.025
1267.794469551664,38.425000000000004
1282.6347597122192,38.825
1297.5409810775827,39.225
1312.511914107827,39.625
1327.5336339548358,40.025000000000006
1342.605044610469,40.425000000000004
1357.7226083689027,40.825
1372.9075230608848,41.225
1388.131484657086,41.625
1403.3682534395857,42.025000000000006
1418.5967137185396,42.425000000000004
1433.8151269100435,42.825
1449.034378306127,43.225
1464.2510874359061,43.625
1479.4686233840396,44.025000000000006
1494.6730748272175,44.425000000000004
1509.873102325045,44.825
1525.0702162302177,45.225
1540.2473523820345,45.625
1555.3980167111042,46.025000000000006
1570.5044477435824,46.425000000000004
1585.5720925785236,46.825
1600.6130457007434,47.225
1615.6157468751364,47.625
1630.5759612128486,48.025000000000006
1645.5136549765332,48.425000000000004
1660.4241195898865,48.825
1675.2862453874727,49.225
1690.0956002578716,49.625
1704.8253098666873,50.025000000000006
1719.476159216725,50.425000000000004
1734.073950328907,50.825
1748.6155174397004,51.225
1763.0793432711323,51.625
1777.4580149893864,52.025000000000006
1791.7684864792172,52.425000000000004
1806.038807089692,52.825
1820.2958885355565,53.225
1834.5583931323133,53.625
1848.8252313666203,54.025000000000006
1863.0770141589092,54.425000000000004
1877.3329334848092,54.825
1891.5820670639766,55.225
1905.8468020471432,55.625
1920.1431341283399,56.025000000000006
1934.4768922902126,56.425000000000004
1948.8624630785548,56.825
1963.3059035077758,57.225
1977.7672489812594,57.625
1992.228216817177,58.025000000000006
2006.68764979577,58.425000000000004
2021.1231512099944,58.825
2035.5143289421494,59.225
