all_means,dt_of_steps
0.0019564041266961468,0.025
0.5391544305721505,0.42500000000000004
1.9472980809050333,0.8250000000000001
4.135233779616012,1.225
7.0220213067967645,1.625
10.535395883848961,2.025
14.612975613551313,2.4250000000000003
19.201371427446336,2.825
24.25347499571591,3.225
29.72632772113871,3.625
35.58225842284381,4.025
41.78195132875831,4.425
48.29511646209279,4.825
55.0946156780467,5.2250000000000005
62.1530295120094,5.625
69.44489816383432,6.025
76.94548726464998,6.425000000000001
84.63495240914303,6.825
92.49923101508983,7.2250000000000005
100.5258721942407,7.625
108.69806791778987,8.025
116.99935965778411,8.425
125.42514168926523,8.825000000000001
133.9700409028252,9.225
142.62926800785678,9.625
151.3981947257601,10.025
160.26878500441413,10.425
169.23200644763727,10.825000000000001
178.27647188079624,11.225000000000001
187.39861397835102,11.625
196.58786077467343,12.025
205.83892720761264,12.425
215.13839663439742,12.825000000000001
224.48070484475986,13.225000000000001
233.86291731835993,13.625
243.2796969008277,14.025
252.73590193178777,14.425
262.2346137161617,14.825000000000001
271.7660148850275,15.225000000000001
281.3159783604769,15.625
290.88621011631227,16.025000000000002
300.47918289409176,16.425
310.0978777798613,16.825
319.74311474089427,17.225
329.40662278996314,17.625
339.0904292615649,18.025000000000002
348.800921846506,18.425
358.5313131056113,18.825
368.28169559952187,19.225
378.05134872033426,19.625
387.8380627503327,20.025000000000002
397.6340229907412,20.425
407.4254760239002,20.825000000000003
417.221400070007,21.225
427.02007447699464,21.625
436.81680254972855,22.025000000000002
446.61741012343316,22.425
456.4178337510963,22.825000000000003
466.20820356080804,23.225
475.9921284623303,23.625
485.7578785613174,24.025000000000002
495.49687185216084,24.425
505.2142723172821,24.825000000000003
514.927016612075,25.225
524.6377745149374,25.625
534.3467178831182,26.025000000000002
544.0519191637327,26.425
553.7444737721086,26.825000000000003
563.4322465815571,27.225
573.1252192776695,27.625
582.8226690333416,28.025000000000002
592.5164057286541,28.425
602.2023096875099,28.825000000000003
611.8778490271293,29.225
621.5444877158794,29.625
631.1988140509152,30.025000000000002
640.8430006921211,30.425
650.4783863803793,30.825000000000003
660.1139815319111,31.225
669.7448471907494,31.625
679.3798967826082,32.025
689.017933193257,32.425000000000004
698.6522555800445,32.825
708.2746398753142,33.225
717.8758216316128,33.625
727.4418635925318,34.025
736.9644480944387,34.425000000000004
746.4482235041953,34.825
755.889787725692,35.225
765.2945916055528,35.625
774.6766051190332,36.025
784.051602217897,36.425000000000004
793.4239888514343,36.825
802.8126879973248,37.225
812.2077268033895,37.625
821.6347256303206,38.025
831.0968935328252,38.425000000000004
840.6014276843667,38.825
850.1465285792011,39.225
859.7247278153498,39.625
869.3360239166225,40.025000000000006
878.9777364322524,40.425000000000004
888.6414833925426,40.825
898.3373495398664,41.225
908.0719075133784,41.625
917.8588724637247,42.025000000000006
927.7004301170423,42.425000000000004
937.5759832323793,42.825
947.4808556957603,43.225
957.4052164279159,43.625
967.339069569719,44.025000000000006
977.2797306370655,44.425000000000004
987.2368059500476,44.825
997.205247409277,45.225
1007.1813646735525,45.625
1017.160918452566,46.025000000000006
1027.1331292971695,46.425000000000004
1037.0862831822776,46.825
1047.0181344744706,47.225
1056.9396869752545,47.625
1066.8457688139065,48.025000000000006
1076.7288807776777,48.425000000000004
1086.591111225616,48.825
1096.4506655457342,49.225
1106.3131469811037,49.625
1116.168774249529,50.025000000000006
1126.045269842481,50.425000000000004
1135.9244466539487,50.825
1145.7932630084654,51.225
1155.6681204667104,51.625
1165.5405011392934,52.025000000000006
1175.3976466360184,52.425000000000004
1185.2397577230145,52.825
1195.06200671706,53.225
1204.872375754575,53.625
1214.6591584013454,54.025000000000006
1224.419033861697,54.425000000000004
1234.1709830256198,54.825
1243.9267543164653,55.225
1253.691364342564,55.625
1263.4375635189074,56.025000000000006
1273.170841230246,56.425000000000004
1282.8796333203263,56.825
1292.5761333809678,57.225
1302.251099976522,57.625
1311.8886479410323,58.025000000000006
1321.496071871242,58.425000000000004
1331.0925595938556,58.825
1340.670242411987,59.225
