log_V_x_heights,V_x_edg_square,log_V_y_heights,V_y_edg_square,log_V_z_heights,V_z_edg_square
-10.24480484082054,12.131301271117893,-11.13563123382876,12.131301271117893,-10.770988120240851,12.131301271117893
-9.754349414532413,11.847537961108355,-10.692778593648976,11.847537961108355,-10.536794732740056,11.847537961108355
-9.213679273241697,11.567132796779399,-10.300240720042272,11.567132796779399,-10.173548023638089,11.567132796779399
-9.290556705832984,11.290085778131035,-9.78274593484,11.290085778131035,-10.116268316814791,11.290085778131035
-9.293269184892102,11.016396905163251,-9.815781972117023,11.016396905163251,-9.67303742603948,11.016396905163251
-8.650486517142838,10.746066177876058,-9.501361345693478,10.746066177876058,-9.389168039515882,10.746066177876058
-8.755556139093818,10.479093596269449,-8.135480166113059,10.479093596269449,-9.370900436988624,10.479093596269449
-8.44778374004407,10.215479160343428,-9.351999947051247,10.215479160343428,-9.786445532104464,10.215479160343428
-8.982209279150934,9.955222870097991,-9.059409154775897,9.955222870097991,-9.650785198980374,9.955222870097991
-9.004003938978354,9.698324725533142,-8.970667518710762,9.698324725533142,-9.555769266640288,9.698324725533142
-8.731263446524773,9.444784726648878,-8.023895284518463,9.444784726648878,-9.58019705261698,9.444784726648878
-8.447978122394764,9.194602873445202,-9.089968098697918,9.194602873445202,-9.137632188593606,9.194602873445202
-8.624639213565086,8.94777916592211,-8.99657398247457,8.94777916592211,-8.554981597477894,8.94777916592211
-8.239088082028053,8.704313604079607,-8.600348376715694,8.704313604079607,-8.788072775191983,8.704313604079607
-8.866750667586105,8.46420618791769,-8.682657631143769,8.46420618791769,-8.943818097360028,8.46420618791769
-8.318854759020999,8.227456917436356,-8.524931387511359,8.227456917436356,-8.670441500724484,8.227456917436356
-8.254348273250475,7.99406579263561,-8.15806293090244,7.99406579263561,-8.34551838847722,7.99406579263561
-7.941282320994312,7.764032813515452,-7.94351014626938,7.764032813515452,-7.509387350706309,7.764032813515452
-7.293417759794122,7.537357980075879,-8.594704383857847,7.537357980075879,-7.480308563243667,7.537357980075879
-7.272558405371412,7.314041292316891,-8.486219532950797,7.314041292316891,-7.8304204511670115,7.314041292316891
-7.183673484513676,7.094082750238489,-7.782924061327039,7.094082750238489,-7.666508216640076,7.094082750238489
-7.021764195594004,6.877482353840676,-7.677243692798805,6.877482353840676,-7.419692631600818,6.877482353840676
-6.866293489174542,6.66424010312345,-7.563285595970775,6.66424010312345,-7.4936187943224075,6.66424010312345
-6.761528769772028,6.454355998086807,-7.409524810991524,6.454355998086807,-7.397145622028063,6.454355998086807
-7.056013630500391,6.247830038730752,-7.223379683090512,6.247830038730752,-7.218705978373272,6.247830038730752
-6.611888046536398,6.044662225055282,-7.208297467163523,6.044662225055282,-7.014552010689846,6.044662225055282
-6.825522663216334,5.8448525570604,-7.187248747528365,5.8448525570604,-6.687248534322431,5.8448525570604
-6.75414045698676,5.648401034746104,-6.815860014277881,5.648401034746104,-6.601558172532641,5.648401034746104
-6.4199168478621536,5.4553076581123925,-6.601343458484917,5.4553076581123925,-6.8264825588534,5.4553076581123925
-6.666804554018062,5.265572427159268,-6.722832940488125,5.265572427159268,-6.62386162352865,5.265572427159268
-6.390028522902847,5.079195341886731,-6.5758470128765385,5.079195341886731,-6.368172144796951,5.079195341886731
-6.111130604537594,4.896176402294779,-6.4824058475685975,4.896176402294779,-6.356651808717576,4.896176402294779
-6.183654638100542,4.716515608383413,-6.212755648600655,4.716515608383413,-6.315464882233875,4.716515608383413
-6.29944003393889,4.540212960152633,-6.266822869870931,4.540212960152633,-6.2580376563495275,4.540212960152633
-6.195091459729273,4.367268457602441,-6.050312622917187,4.367268457602441,-6.249544668303088,4.367268457602441
-5.84317386069584,4.197682100732836,-6.121364446355602,4.197682100732836,-6.0990497577879195,4.197682100732836
-6.075897433082826,4.031453889543815,-5.985399642545732,4.031453889543815,-6.078039655640172,4.031453889543815
-5.945535615219582,3.8685838240353805,-5.992298227856559,3.8685838240353805,-5.8769163675911615,3.8685838240353805
-5.967211055307278,3.7090719042075326,-5.853327111936219,3.7090719042075326,-5.769241419253514,3.7090719042075326
-6.032529626726581,3.552918130060271,-5.805469191429277,3.552918130060271,-5.813569439266941,3.552918130060271
-5.81290003919174,3.400122501593596,-5.664922403449487,3.400122501593596,-5.759176269881195,3.400122501593596
-5.672925971104028,3.250685018807508,-5.472898954331774,3.250685018807508,-5.7771195901501216,3.250685018807508
-5.7010237833466,3.104605681702005,-5.595410248754005,3.104605681702005,-5.572469165160281,3.104605681702005
-5.4802689917751115,2.9618844902770887,-5.587856718231164,2.9618844902770887,-5.480508931791259,2.9618844902770887
-5.357987756288748,2.8225214445327587,-5.456121935928916,2.8225214445327587,-5.390889631198383,2.8225214445327587
-5.273722319692657,2.6865165444690144,-5.377974037632175,2.6865165444690144,-5.543227347155948,2.6865165444690144
-5.325337477328771,2.553869790085857,-5.145581973481059,2.553869790085857,-5.519868436533993,2.553869790085857
-5.325346038935956,2.4245811813832856,-5.277494018534472,2.4245811813832856,-5.403196516599397,2.4245811813832856
-5.19572317363518,2.2986507183613005,-5.263159382292224,2.2986507183613005,-5.27517066370779,2.2986507183613005
-5.007776883247775,2.1760784010199017,-5.099951598117752,2.1760784010199017,-5.25708745523715,2.1760784010199017
-5.15441906318513,2.05686422935909,-5.116093036702691,2.05686422935909,-5.240276471838527,2.05686422935909
-5.116218056671321,1.941008203378863,-4.956454921333115,1.941008203378863,-5.113526638445895,1.941008203378863
-5.000505523897745,1.8285103230792235,-5.031354716520688,1.8285103230792235,-5.0860729961028275,1.8285103230792235
